Time (s),Channel 1 (V),Channel 2 (V)
-0.01,0.99650349047063167,0.9919413791910543
-0.0099979999999999999,-0.9937156257892602,0.98594597253092731
-0.0099959999999999997,-0.98839385237794342,0.97728594068852159
-0.0099939999999999994,-0.98706340902511425,0.96829283069833105
-0.0099919999999999991,-0.98606557651049243,0.95963279885592534
-0.0099900000000000006,-0.98706340902511425,0.9506396888657348
-0.0099880000000000004,-0.98772863070152883,0.94231273517111402
-0.0099860000000000001,-0.98839385237794342,0.93431885962427796
-0.0099839999999999998,-0.98772863070152883,0.92532574963408742
-0.0099819999999999996,-0.98872646321615076,0.91733187408725136
-0.0099799999999999993,-0.99005690656897993,0.90833876409706082
-0.0099780000000000008,-0.99005690656897993,0.90034488855022476
-0.0099760000000000005,-0.9913873499218091,0.89168485670781916
-0.0099740000000000002,-0.99171996076001645,0.88335790301319828
-0.009972,-0.9920525715982238,0.87503094931857739
-0.0099699999999999997,-0.9913873499218091,0.8667039956239565
-0.0099679999999999994,-0.9920525715982238,0.85904319822490527
-0.0099659999999999992,-0.9920525715982238,0.85104932267806932
-0.0099640000000000006,-0.99305040411284562,0.84305544713123326
-0.0099620000000000004,-0.99404823662746755,0.83539464973218203
-0.0099600000000000001,-0.99438084746567479,0.82706769603756125
-0.0099579999999999998,-0.99504606914208948,0.81907382049072519
-0.0099559999999999996,-0.99504606914208948,0.81141302309167396
-0.0099539999999999993,-0.99504606914208948,0.80375222569262272
-0.0099520000000000008,-0.99537867998029672,0.79575835014578677
-0.0099500000000000005,-0.99537867998029672,0.78843063089452037
-0.0099480000000000002,-0.99537867998029672,0.78043675534768431
-0.009946,-0.99637651249491865,0.77277595794863319
-0.0099439999999999997,-0.99637651249491865,0.76478208240179713
-0.0099419999999999994,-0.99704173417133324,0.75778744129831554
-0.0099399999999999992,-0.99670912333312589,0.7497935657514796
-0.0099380000000000007,-0.99737434500954048,0.74179969020464354
-0.0099360000000000004,-0.99770695584774782,0.73480504910116196
-0.0099340000000000001,-0.99737434500954048,0.72747732984989566
-0.0099319999999999999,-0.99770695584774782,0.72081576689419891
-0.0099299999999999996,-0.99837217752416241,0.71282189134736296
-0.0099279999999999993,-0.99803956668595517,0.70516109394831172
-0.0099260000000000008,-0.99803956668595517,0.69816645284483025
-0.0099240000000000005,-0.99803956668595517,0.69117181174134867
-0.0099220000000000003,-0.99903739920057699,0.68384409249008227
-0.00992,-0.99870478836236976,0.6768494513866008
-0.0099179999999999997,-0.99837217752416241,0.66985481028311922
-0.0099159999999999995,-0.99870478836236976,0.66252709103185292
-0.0099139999999999992,-0.99970262087699158,0.65553244992837134
-0.0099120000000000007,-0.99937001003878434,0.64820473067710505
-0.0099100000000000004,-0.99970262087699158,0.64154316772140829
-0.0099080000000000001,-0.99970262087699158,0.634215448470142
-0.0099059999999999999,-1.000035231715199,0.62722080736666042
-0.0099039999999999996,-0.99970262087699158,0.62022616626317895
-0.0099019999999999993,-0.99903739920057699,0.61356460330748219
-0.0099000000000000008,-0.99903739920057699,0.60690304035178555
-0.0098980000000000005,-0.99970262087699158,0.59990839924830397
-0.0098960000000000003,-0.99970262087699158,0.59258067999703767
-0.009894,-1.0003678425534064,0.58591911704134092
-0.0098919999999999998,-0.99970262087699158,0.57925755408564428
-0.0098899999999999995,-0.99903739920057699,0.57259599112994752
-0.0098879999999999992,-1.000035231715199,0.56560135002646605
-0.0098860000000000007,-0.99970262087699158,0.55927286521855413
-0.0098840000000000004,-1.0003678425534064,0.55294438041064231
-0.0098820000000000002,-0.99970262087699158,0.54628281745494567
-0.0098799999999999999,-0.99970262087699158,0.53995433264703374
-0.0098779999999999996,-1.000035231715199,0.53295969154355227
-0.0098759999999999994,-1.0003678425534064,0.52663120673564034
-0.0098740000000000008,-1.000035231715199,0.52030272192772853
-0.0098720000000000006,-1.000035231715199,0.51364115897203189
-0.0098700000000000003,-1.0003678425534064,0.50797883045968961
-0.009868,-1.0003678425534064,0.50131726750399297
-0.0098659999999999998,-1.0013656750680282,0.49498878269608104
-0.0098639999999999995,-1.0003678425534064,0.48799414159259957
-0.0098619999999999992,-1.0003678425534064,0.4823318130802573
-0.0098600000000000007,-1.0007004533916135,0.47567025012456066
-0.0098580000000000004,-1.0003678425534064,0.46967484346443367
-0.0098560000000000002,-1.0007004533916135,0.46334635865652174
-0.0098539999999999999,-1.0013656750680282,0.45768403014417958
-0.0098519999999999996,-1.000035231715199,0.45102246718848293
-0.0098499999999999994,-1.0003678425534064,0.44469398238057101
-0.0098480000000000009,-1.0010330642298209,0.43903165386822884
-0.0098460000000000006,-1.0003678425534064,0.43303624720810185
-0.0098440000000000003,-1.0010330642298209,0.42670776240018993
-0.0098420000000000001,-1.0003678425534064,0.42071235574006294
-0.0098399999999999998,-1.0007004533916135,0.41505002722772077
-0.0098379999999999995,-1.0010330642298209,0.40938769871537861
-0.0098359999999999993,-1.0013656750680282,0.40272613575968186
-0.0098340000000000007,-1.0010330642298209,0.39673072909955487
-0.0098320000000000005,-1.0007004533916135,0.39106840058721271
-0.0098300000000000002,-1.0013656750680282,0.38540607207487043
-0.0098279999999999999,-1.0010330642298209,0.37941066541474344
-0.0098259999999999997,-1.0003678425534064,0.37374833690240128
-0.0098239999999999994,-1.0013656750680282,0.36808600839005912
-0.0098219999999999991,-1.0007004533916135,0.36175752358214719
-0.0098200000000000006,-1.0010330642298209,0.35609519506980503
-0.0098180000000000003,-1.0003678425534064,0.35043286655746286
-0.0098160000000000001,-1.0010330642298209,0.34510361619290553
