Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10.000000000000002,0.0079777122621012171,-30.51786343440402,87.514432009319322
10.437290924388728,0.0077377885449129947,-30.154673926772094,87.430573244891633
10.893704184032726,0.0078307560330172464,-29.795274284912786,87.36635448859397
11.370075981298015,0.0076459378513712654,-29.432634264005571,87.301459789577009
11.867279084921201,0.0079034324912788962,-29.069334538638962,87.222604550677801
12.386224429023631,0.0077255003866414738,-28.707698657928951,87.151940138106568
12.927862782049029,0.0079015292916578186,-28.341803531009493,87.055834875446294
13.49318648868231,0.0078725725506562181,-27.979744158470847,86.966939502605982
14.08323128794083,0.0077972305189936576,-27.612340260230472,86.844245057584828
14.699078210769217,0.0075564987197900254,-27.2432669935124,86.77177760068642
15.341855560614164,0.0078395291471370747,-26.876646120840636,86.661153543134049
16.01274098060809,0.0080008894078095645,-26.506295322169713,86.552061569451354
16.712963611148822,0.0079741435399132525,-26.14099468919737,86.444726180884786
17.443806341828246,0.0076984321918151383,-25.774888495271124,86.311099517780306
18.206608161835845,0.0079196948596977207,-25.406404796963457,86.196508620113732
19.002766613143116,0.0078276829877952734,-25.041158276308842,86.04737720329706
19.833740350963573,0.0077634933543514351,-24.673740568612821,85.913236253353048
20.701051816179458,0.0080596330577404514,-24.308065930094177,85.775623126147551
21.606290024631036,0.0075364228448159352,-23.938950861319025,85.617273134041454
22.551113478379218,0.0078819853423905042,-23.569232430553694,85.467807341831204
23.537253204274766,0.007889948063295479,-23.200740054554668,85.302038119623262
24.566515925401649,0.0079605521843524943,-22.834026080812034,85.138376209966168
25.640787371204571,0.0075034948163551973,-22.465452409359166,84.943662939460296
26.762035732365426,0.0078851182002925048,-22.099017314598104,84.763167646811951
27.932315266758472,0.0078350884775553863,-21.73268206843354,84.560334376171113
29.153770063090281,0.0074704434075740407,-21.367333792551925,84.358328741063275
30.428637969120796,0.0077880168783643899,-21.001267573703387,84.157192860736615
31.759254691661464,0.0076967528487072914,-20.636199793506993,83.934801927827664
33.148058075862792,0.0074826572746765543,-20.268172439626568,83.717424219945372
34.59759257163131,0.0075915527493555564,-19.904482216590736,83.460265052252112
36.110513895358629,0.0078763462186172192,-19.540688873041333,83.210072713277214
37.689593895503961,0.0079592161176130841,-19.175469245087822,82.954231782464191
39.337725630944021,0.0077555210598957945,-18.809822330176459,82.680054223415766
41.057928671394578,0.0077654144808098893,-18.447719502212973,82.394591491336342
42.853354629614628,0.0076446816755440265,-18.08490048857486,82.108177786546989
44.72729293552883,0.0089977729837854535,-17.721878362536337,81.776606198445279
46.683176862847105,0.0067730461861583054,-17.362414496896065,81.487388452651373
48.724589819222778,0.0062381788978675386,-16.997628319428852,81.148851947731956
50.855271911473672,0.0060169239420058323,-16.639973553368893,80.807787509672835
53.079126797894496,0.0090936037884616662,-16.27836880916432,80.428361491312245
55.400228840214268,0.0065875674528956766,-15.91758775288756,80.06370417039227
57.822830568302692,0.0070670581561199054,-15.55837643991855,79.669945777958773
60.351370471301273,0.0085110813622770801,-15.198664415353463,79.245003633500502
62.99048112945345,0.0077934155874935136,-14.843020203654756,78.827997896849354
65.744997701532441,0.0075065624606964754,-14.48681862708511,78.380703084067676
68.619966783416146,0.0076255615247382055,-14.131149271117032,77.921411242515745
71.620655654040519,0.0077815924286497966,-13.775848590814018,77.447519797554889
74.752561925668715,0.0076311587587276804,-13.424281447722738,76.94956892327771
78.021423616158742,0.00775360075200935,-13.073562922550197,76.430606887424801
81.433229661682276,0.0073646108229665341,-12.724384956399069,75.889259612768868
84.99423088915384,0.0074578564631680227,-12.376977369117403,75.339951822089404
88.710951468476509,0.0076690910107799501,-12.031188888557821,74.758687676055317
92.590200865581863,0.0073100301711737214,-11.687515258625377,74.162026881900374
96.639086318166662,0.0074934593994172433,-11.345150708827363,73.537435827842032
100.86502585698207,0.0075637189106650474,-11.006273003379912,72.897234343112089
105.27576189653121,0.0077453375090884343,-10.668439808758084,72.227186137583658
109.87937542007735,0.0079603648700220051,-10.333478930024487,71.536949299620233
114.6843007849475,0.0078622557974329151,-10.00164357409988,70.82026198784564
119.6993411752598,0.0078452612109554953,-9.671825294091537,70.08149379728988
124.93368473038501,0.0077596006212899311,-9.3458847210320695,69.315831221046963
130.39692137868886,0.0077454703180005946,-9.0228623223510986,68.529238375528536
136.09906040740194,0.0079481925350177104,-8.703376164520531,67.715438691006113
142.05054880080107,0.0077188931382454664,-8.3879536553874132,66.874597286423821
148.26229038030374,0.0078931331736215929,-8.0762227802573872,66.010894095766389
154.74566578154315,0.0078963041883731485,-7.7684563102995039,65.121783000756409
161.51255330501894,0.0074529895519759659,-7.4657984280915821,64.206027448314558
168.57535067853246,0.0076224026545604392,-7.1673328882169232,63.270470509181031
175.94699777126937,0.0080385252011548457,-6.8740673613988701,62.307277906605322
183.64100030115114,0.0076646020206575611,-6.5862474863695581,61.321451210997296
191.67145457888739,0.0080691661512892754,-6.3031593342515233,60.312315082537026
200.05307333406051,0.0077751605649592232,-6.0263555095506831,59.282884257168121
208.80121267056617,0.0079689940267002966,-5.7555213947221961,58.229216114949196
217.93190020078629,0.0076240948824436092,-5.4909967102255477,57.155376802721086
227.46186441004539,0.0075368544800238097,-5.2316346102786371,56.062461414473937
237.4085653051508,0.0072771549119781068,-4.9802074546696309,54.953706402419542
247.79022640315961,0.0075482535564132622,-4.7346095724463728,53.826180512392966
258.62586811899251,0.007742352554789847,-4.4965049277449447,52.684657175051356
269.9353426130516,0.0072746561669720213,-4.2655322999214196,51.531914256581075
