Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10.000000000000002,0.008145152629525268,-0.03716967876090263,-1.6816794286228571
10.437290924388728,0.0081782247784489212,-0.037781777593724399,-1.7545484525292707
10.893704184032726,0.0083351974888095197,-0.038192267773991734,-1.8317185052902119
11.370075981298015,0.007986501206751654,-0.038918211224227436,-1.9118355717910163
11.867279084921201,0.0079495527189316663,-0.039583704996999224,-1.9940999586045223
12.386224429023631,0.0079480282569354514,-0.040233203568944539,-2.0801968849245931
12.927862782049029,0.0080378876587961189,-0.040627624530176418,-2.1722551495798399
13.49318648868231,0.0081509030323587955,-0.041328230306869232,-2.2665501218040731
14.08323128794083,0.0081773297778696703,-0.042130614887601996,-2.3655335873275121
14.699078210769217,0.0082494505977709891,-0.042837106908133832,-2.4683322473090357
15.341855560614164,0.0081754655348611274,-0.043875642963827982,-2.5754405808164336
16.01274098060809,0.0082175684387962907,-0.044931659511292063,-2.6879801752091623
16.712963611148822,0.008069061838803791,-0.045802700833070475,-2.8039120976448615
17.443806341828246,0.0082711348365714053,-0.047200688516625025,-2.9269260648287911
18.206608161835845,0.0081793347195407932,-0.048605062372392212,-3.0540521236744116
19.002766613143116,0.0082534331513659,-0.04975428870322883,-3.185958214618438
19.833740350963573,0.0082357290141998885,-0.051251967051711089,-3.3239748558812607
20.701051816179458,0.0080682221458060893,-0.053062744863979855,-3.4689735491659519
21.606290024631036,0.0081001500712254079,-0.054740124067097322,-3.6198346788906122
22.551113478379218,0.0081010670921463912,-0.056698540753984714,-3.7764451564743418
23.537253204274766,0.0079548083142109774,-0.058531856126183314,-3.9408467016901625
24.566515925401649,0.0082836011534405691,-0.060449645392790734,-4.1108295148850935
25.640787371204571,0.0078814008139076325,-0.06282539459621525,-4.2893317520968424
26.762035732365426,0.0080801402529450811,-0.065376049613304357,-4.4751327972570678
27.932315266758472,0.0080681872205242231,-0.068336063615575066,-4.6676441062076037
29.153770063090281,0.008134704085127795,-0.071119491149152059,-4.8694617438397003
30.428637969120796,0.0079247244382802898,-0.074158022519347847,-5.0798893007631989
31.759254691661464,0.0081050366971530501,-0.077543291751564505,-5.3008682141772852
33.148058075862792,0.0080780890576398513,-0.081431107704163119,-5.5302308540999405
34.59759257163131,0.0081764455488286796,-0.085613452606951135,-5.7685023396494444
36.110513895358629,0.0079709803035869393,-0.089811331336111994,-6.0165515226756749
37.689593895503961,0.0079097415757802374,-0.094625199722880041,-6.275666515715983
39.337725630944021,0.0080535717026428404,-0.099694834100348628,-6.5489219085380057
41.057928671394578,0.0080028520822826021,-0.1051252271231657,-6.8295407143977371
42.853354629614628,0.007726006630314048,-0.11137098047324491,-7.1257477563253229
44.72729293552883,0.0083129259277413686,-0.11773994664157808,-7.4239844887345754
46.683176862847105,0.0071065899134729205,-0.12488742072909409,-7.7524497751793859
48.724589819222778,0.0083128616940353565,-0.13248565015346256,-8.0867010803710855
50.855271911473672,0.0076730415263233705,-0.14103260412174387,-8.4345980079490204
53.079126797894496,0.0072247765115978245,-0.14983954619146472,-8.7807098709342313
55.400228840214268,0.0074226484040580609,-0.15981744048350979,-9.167508079694926
57.822830568302692,0.0078225643623014447,-0.17003366567333783,-9.5562705505816012
60.351370471301273,0.0078986056125966049,-0.18156723792883381,-9.9577762850328995
62.99048112945345,0.0081864806735508083,-0.19398633447470554,-10.381093255347952
65.744997701532441,0.0082186510534005656,-0.20726957295331666,-10.821585504381684
68.619966783416146,0.0083626820129348699,-0.22175830191552082,-11.280055202037786
71.620655654040519,0.0079978997437321064,-0.23740699914463748,-11.752664184746294
74.752561925668715,0.0081018618499132684,-0.25448875979574248,-12.249058221853431
78.021423616158742,0.0077173663401956362,-0.27321898987986643,-12.763707150676829
81.433229661682276,0.0080794610577567642,-0.2928364309218599,-13.295604943422177
84.99423088915384,0.0080670604152016153,-0.31426478951600162,-13.850292681821784
88.710951468476509,0.0082871667903535052,-0.33723616693051839,-14.426328183275899
92.590200865581863,0.0081230178314370561,-0.36259916520584679,-15.021897940565026
96.639086318166662,0.0078847415214921765,-0.38952823726629049,-15.641407472701182
100.86502585698207,0.0080531457928035843,-0.41895011349051348,-16.284872634250803
105.27576189653121,0.0075200931459898507,-0.4505238263690744,-16.948683857826012
109.87937542007735,0.0078317786371499172,-0.4845000029118785,-17.638752944353115
114.6843007849475,0.0079230429113368306,-0.52102098995392976,-18.351096184913857
119.6993411752598,0.0075593955710589224,-0.56106784283577915,-19.087995231776432
